,,Tempo de Processos,Tempo de Processos,Tempo de Processos,Tempo de Processos,Tributação,Tributação,Tributação,Tributação,Tributação,Complexidade Burocrática,Complexidade Burocrática,Complexidade Burocrática,Complexidade Burocrática,Índice de Ambiente Regulatório
,,Tempo de Viabilidade de Localização,"Tempo de Registro, Cadastro e Viabilidade de Nome",Taxa de Congestionamento em Tribunais,Índice de Tempo de Processos,Alíquota Interna do ICMS,Alíquota Interna do IPTU,Alíquota Interna do ISS,Qualidade de Gestão Fiscal,Índice de Tributação,Simplicidade Tributária,CNDs Municipais,Atualização de Zoneamento,Índice de Complexidade Burocrática,
Uberlândia,MG,5.135099759680112,41.91868537182878,0.9536532565704791,5.876117568674253,0.10424010353999831,0.002961599807832257,0.009463525477547856,0.8078222102128141,6.412194878017087,0.02079041946280333,1,9.0,6.246270211795991,6.373755973239722
Osasco,SP,20.8876508080403,37.67909081891194,0.9867379354097644,5.2866915312017975,0.08021034449760606,0.004712213621532298,0.014442061392089181,0.7467018437200863,6.112343479378235,0.061824171407599486,1,42.00000000000004,6.941364525120603,6.2379919320917425
Sorocaba,SP,45.4227829093611,37.67909081891194,0.9882453847228833,5.256827815670253,0.08021034449760606,0.005867420662939096,0.013561180107271134,0.6959321684116392,5.904994243423914,0.026466962401195764,1,0.0,5.770259311518795,5.2533596809952625
Contagem,MG,22.01476672160607,41.91868537182878,0.9549206396781628,5.847227787130098,0.10424010353999831,0.014517449247708213,0.007136817652200527,0.8747791808184779,6.191176103932203,0.056551831997769864,1,10.000000000000009,7.227436780249859,6.885018443006435
Aracaju,SE,18.598300809900206,9.949743555821039,0.9479969301043266,8.35644837807077,0.09501681809827534,0.01511376035014271,0.019092498299405538,0.7918883311863055,5.179236074175324,0.04252494884446028,0,0.0,5.01951198865609,6.388168195907805
Feira de Santana,BA,39.937648121612355,53.97315160635543,0.9656986767875304,5.45994570144283,0.10638457822639953,0.006962840028579644,0.00862902336980781,0.8218367302529086,5.95227673832046,0.018854051185414757,1,6.0,6.510639678771209,5.946068688343972
Cuiabá,MT,9.00870843684552,25.374783539969343,0.9435169126118481,6.568983142954185,0.1959001966116921,0.011082394926631978,0.017097214516405612,0.5208206963202533,3.382979052437701,0.02989365812330948,1,5.0,7.025927854454357,5.2853870339552484
Joinville,SC,70.8661253904897,11.315626093236794,0.9595763900532319,7.739233674510889,0.08987940824271945,0.006061716345814638,0.009147552003918778,0.672978039291889,5.929522284903673,0.029894400823209873,1,3.0,7.7962835373479065,8.422598617566683
Aparecida de Goiânia,GO,22.4124679734355,13.932130395013333,0.8981937522711935,8.584860278859814,0.11479879786280624,0.011330693693086657,0.007502978598311773,0.8715594383877339,5.964834780257925,0.026857334353738913,1,0.0,5.781670483829611,7.629985155050607
Londrina,PR,21.59677788094314,17.67970901733133,0.9759078205203668,6.426626916586143,0.08425029362336277,0.019344535325396293,0.013956322916310262,0.7575425846892491,5.56364756175965,0.05401162143991395,1,5.0,7.730932999928507,7.2033902820757945
Juiz de Fora,MG,41.14506192260007,41.91868537182878,0.959742689582027,5.746648651203554,0.10424010353999831,0.011071794632475073,0.010892841002464525,0.7816736476910847,5.459867022005964,0.026894738213683843,0,34.000000000000334,4.732543514438225,4.5590835638219005
Porto Velho,RO,10.86534208107537,30.151002807345783,0.942415276856978,6.39979797996937,0.13937881942309696,0.002079443651968545,0.008911475590433034,0.537759327170871,5.644650262103133,0.009416978969737706,1,21.0,5.546981359980763,5.7143460898009275
Ananindeua,PA,37.41205134662393,28.991162699648054,0.9704247149438666,5.856165019462525,0.0949895895488403,0.0027288872626577815,0.008854946165244139,0.8678044057742756,6.947823051240849,0.009343522304168912,0,0.0,4.049567879446315,5.1984582649404345
Serra,ES,7.517222990773039,19.201224501334313,0.9656711400357725,6.496760693765296,0.11213625865301455,0.00329904444854296,0.009026817235382942,0.9177947758131654,6.511012121569431,0.023031650129422744,1,0.0,5.669839852540554,6.473756075211878
Caxias do Sul,RS,25.5270531183148,43.16849825083068,0.9630391234461987,5.657639066850677,0.09857742992567459,0.005752687297327305,0.008343371937247122,0.8655144697723094,6.36887948192039,0.019122807428930834,1,0.0,5.555578371149271,5.707821101311028
Macapá,AP,19.888446998173396,30.72712545242383,0.9479182883517555,6.2625964382374555,0.0731713985077105,0.0011664413844012305,0.006154847367293712,0.39351611197902553,8.384204500828668,0.005326326482235626,1,15.999999999999925,5.513380072741493,7.510300687131727
Niterói,RJ,16.25873960817507,34.73622370893877,0.9747143907381925,5.59441314349287,0.06804473229938263,0.010213711220235734,0.007804232709151856,0.939270134582893,7.4546657155102665,0.02801027321382503,1,4.0000000000000036,7.259748857867609,7.614227728231329
Florianópolis,SC,15.128976234676871,11.315626093236794,0.9420186628044536,8.110122730528824,0.08987940824271945,0.018472938440066967,0.01887575239716778,0.7260737840855798,5.109602564324073,0.05055439255859171,1,6.0,7.437289391601245,7.857664281250595
Belford Roxo,RJ,31.788361704765958,34.73622370893877,0.9860924617822779,5.368397555383506,0.06804473229938263,0.003089177471169792,0.004609875240239682,0.6700092087990068,8.401497124188692,0.006533767575072709,0,22.999999999999737,4.2186302897822765,5.991977178498439
