"","Município","UF","Operações de Crédito por Município","Proporção Relativa de Capital de Risco","Capital Poupado per capita","Índice de Capital Disponível","V7","Tempo de Viabilidade de Localização","Tempo de Registro, Cadastro e Viabilidade de Nome","Taxa de Congestionamento em Tribunais","Índice de Tempo de Processos","Alíquota Interna do ICMS","Alíquota Interna do IPTU","Alíquota Interna do ISS","Qualidade de Gestão Fiscal","Índice de Tributação","Simplicidade Tributária","CNDs Municipais","Atualização de Zoneamento","Índice de Complexidade Burocrática","V16","Nota do IDEB","Proporção de Adultos com pelo menos o Ensino Médio Completo","Taxa Líquida de Matrícula no Ensino Médio","Nota Média no ENEM","Proporção de Matriculados no Ensino Técnico e Profissionalizante","Índice de Acesso e Qualidade da Mão de Obra Básica","Proporção de Adultos com pelo menos os Ensino Superior Completo","Proporção de Alunos Concluintes em Cursos de Alta Qualidade","Custo Médio de Salários de Dirigentes","Índice de Acesso e Qualidade da Mão de Obra Qualificada","V13","Pesquisas pelo Termo Empreendedora","Pesquisas pelo Termo Empreendedorismo","Pesquisas pelo Termo MEI","Índice de Iniciativa","Pesquisas por Sebrae","Pesquisas por Franquia","Pesquisas por SIMPLES Nacional","Pesquisas por Senac","Índice de Instituições","V12.x","Conectividade Via Rodovias","Número de Decolagens por Ano","Distância ao Porto Mais Próximo","Índice de Transporte Interurbano","Acesso à Internet Rápida","Preço Médio do m²","Custo da Energia Elétrica","Taxa de Homicídios","Índice de Condições Urbanas","V12.y","Proporção de Mestres e Doutores em C&T","Proporção de Funcionários em C&T","Média de Investimentos do BNDES e FINEP","Infraestrutura Tecnológica","Contratos de Concessão","Índice de Inputs","Patentes","Tamanho da Indústria Inovadora","Tamanho da Indústria Criativa","Tamanho das Empresas TIC","Índice de Output","V14","Índice de Desenvolvimento Humano","Crescimento Real Médio do PIB","Número de Empresas Exportadoras com Sede na Cidade","Índice de Desenvolvimento Econômico","PIB per capita","Proporção entre Grandes/Médias e Médias/Pequenas Empresas","Compras Públicas","Índice de Clientes Potenciais","V11"
"26","Santo André","SP",0.211467929169701,0,17702.5396476532,5.8929479289223,5.8929479289223,5.00891368570516,37.6790908189119,0.976991400054649,5.4817259568053,0.0802103444976061,0.0113884296335326,0.0177422954429439,0.751409800067652,5.61431073857671,0.0367365520816281,1,4,7.51483140451067,6.42709129742918,5.2,0.643803724928367,0.83631497245129,565.495967078189,0.0133080868006282,7.50228573819504,0.419591690544413,0.233013698630137,6154.56913558769,6.41140520953257,7.14349274492871,18.81,29.89,65.55,5.8835747681571,34.2,72.98,49.41,6.5,6.42599022062552,6.16472908285198,3,36387,30,6.122904854,4.011396775,4317.442109,0.59449,7.874135399,6.861408367,6.733873512,12.3142925240327,0.0765977553844968,0,1,145.626439977755,6.66825375674479,6.67355207754032,0.0175577977278144,0.0128704218638278,0.0154921744657186,6.34869488601737,6.55252007777912,0.815,-0.01157981,0.011599269,6.643714291,41.91122672,1.485278926,732180.7523,6.798672046,6.870212882
"27","Ribeirão Preto","SP",0.674651789602469,0.00906055101588731,26065.4636627988,6.46670526071322,6.46670526071322,18.3625753576602,37.6790908189119,0.978144811691172,5.45642194476181,0.0802103444976061,0.0121697235961124,0.0108290097468451,0.758967589958431,6.02434174090726,0.0428110987858253,1,13,6.69244699043548,6.12110105667504,4.8,0.600265856437524,0.687553955620704,584.620825285338,0.00852062189265788,6.63820002306032,0.429927838966958,0.127820152549177,5372.35849457436,6.3032300760779,6.56253518338495,17.1,26.23,66.5,5.79352753527946,31.35,57.85,53.46,5.85,6.16376771585813,5.97727548537969,7,3320,344,5.739397945,4.134464447,2074.39534,0.67864,9.859522632,6.476119859,6.160683413,10.6844388024966,0.0640311888014822,681.429330900243,1,168.623717338411,6.71587510913284,5.23643287845129,0.0136993547022109,0.0180894953982863,0.0165026975563313,6.54677095013681,6.68601035444651,0.8,0.002395909,0.008357135,6.450889445,49.09657194,0.951993763,492108.8588,5.966777305,6.251984491
"28","Jaboatão dos Guararapes","PE",0.130227211749974,0,2977.57112029578,5.37188503969313,5.37188503969313,31.9361314065693,45.1270771273754,0.927988207456412,6.37375155669125,0.106915492962018,0.00913372618742322,0.00848216794750488,0.65601462406854,5.42167991913674,0.0207745434081956,1,6.99999999999999,6.42921898093984,6.15706542061352,4.5,0.50131717597471,0.553690193212355,514.196426207809,0.00640739798628788,4.53925994821294,0.141991570073762,0.011643379906853,5262.12366650414,4.08542517013635,3.98313929237082,54.02,34.3,70,6.58685842174266,23.92,35.2,22.11,21.09,5.4316286988117,6.00983756730847,9,30800,18,7.510484576,0.708806039,3165.385261,0.7358,39.08172016,4.21024645,5.791785685,0,0.0595607851727834,0,0,81.8784916201117,4.85342365237039,2.2695530726257,0.0127444134078212,0.00733240223463687,0.00872905027932961,4.83311810849507,4.74307111246688,0.717,-0.040422135,0.005935754,4.56938106,19.49972446,0.82852552,769328.1313,4.686510902,4.344439279
"29","Uberlândia","MG",0.52414607584484,0.0745599275244048,12924.6446163796,5.97379296451254,5.97379296451254,5.13509975968011,41.9186853718288,0.953653256570479,5.87611756867425,0.104240103539998,0.00296159980783226,0.00946352547754786,0.807822210212814,6.41219487801709,0.0207904194628033,1,9,6.24627021179599,6.37375597323972,4.8,0.527275886031967,0.636251694756448,572.527870689655,0.00669345257989656,5.86688186204982,0.353717859624739,0.444194463464736,5271.37675451935,7.16537617529855,6.61680783827913,32.76,29.48,43.61,5.60359453150841,20.5,49.7,31.2,8.12,5.51991400364208,5.53359184544724,5,3771,588,5.320168475,4.122172893,2318.749739,0.61805,5.943982213,7.238758032,6.416718327,18.9310932554176,0.0698086947029446,113.515949598247,1,143.291940589238,6.79289621133126,6.08716824933041,0.00852203554906258,0.0157657657657658,0.0168005843681519,6.31613058160289,6.60254721244012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Osasco","SP",6.22492866237917,0,31109.5305704933,10.2779085082901,10.2779085082901,20.8876508080403,37.6790908189119,0.986737935409764,5.2866915312018,0.0802103444976061,0.0047122136215323,0.0144420613920892,0.746701843720086,6.11234347937823,0.0618241714075995,1,42,6.9413645251206,6.23799193209174,4.8,0.614533965244866,0.903280876805368,552.575805529075,0.00891359036491086,6.97538277178695,0.349723538704581,0.170707070707071,8294.51126230457,5.26511538262602,6.14370548968031,17.67,29.89,60.8,5.76544623070628,33.06,64.97,0,6.5,5.46543211833438,5.59072663655418,3,36387,70,5.881346984,3.555954424,3993.534649,0.59449,11.83300353,6.391811972,6.203658874,0,0.0794229024151892,15360.1092274434,0,226.191830697463,6.76151657714168,6.82671521219706,0.0125156445556946,0.011605415860735,0.0147912162930936,6.05290037113516,6.44248224215566,0.776,-0.025716685,0.01365343,6.046694824,116.7954601,0.921483833,1116026.863,8.260368834,7.391885422
"31","Sorocaba","SP",0.286205002738359,0.100473648360419,13802.7215961388,5.85429409302311,5.85429409302311,45.4227829093611,37.6790908189119,0.988245384722883,5.25682781567025,0.0802103444976061,0.0058674206629391,0.0135611801072711,0.695932168411639,5.90499424342391,0.0264669624011958,1,0,5.7702593115188,5.25335968099526,5.5,0.611152835148329,0.760568906854893,563.510457220462,0.0184563793377577,7.46753105982049,0.366128426586557,0.256201044386423,7624.70546163355,5.83262792211932,6.77688738867028,17.67,28.67,69.35,5.92004496541804,33.06,56.96,46.98,6.5,6.08510367570968,6.00273975081691,7,49496,130,6.95647172,3.85770888,1626.861248,0.620400308,10.49864237,6.748658298,7.271292235,10.9239872553482,0.128280756493608,7145.39343878015,1,172.204521316947,7.56943755520282,6.59990896677287,0.0199514489455318,0.0144135942952511,0.0130480958883326,6.33486694816614,7.03463088308838,0.798,0.01443841,0.0192687,7.28125377,53.61990025,1.043646042,709747.287,6.310099168,6.960086623
"32","Contagem","MG",0.152287775107009,0,10804.4545662307,5.63494325253175,5.63494325253175,22.0147667216061,41.9186853718288,0.954920639678163,5.8472277871301,0.104240103539998,0.0145174492477082,0.00713681765220053,0.874779180818478,6.1911761039322,0.0565518319977699,1,10,7.22743678024986,6.88501844300643,4.7,0.551621621621622,0.542394514197454,567.334624396968,0.00705204567142488,5.59535647334459,0.247567567567568,0.171046344959388,5323.03458994956,5.36878867856997,5.38104295001686,30.68,30.15,59.63,5.93284956298528,26.5,43.4,35.2,14.56,5.70300398564679,5.80622643667316,3,30048,340,4.826437359,2.4156495,2950.76033,0.61805,13.20770677,5.826370819,4.995575419,0,0.0897400279211263,0,0,112.223934257833,5.34586867113615,5.9065228556754,0.0263653483992467,0.00736175312446499,0.00898818695428865,5.64018526728814,5.44911125965614,0.756,-0.004945771,0.009159391,5.810594111,45.17501695,1.21536584,547784.2542,6.364646658,6.105725332
"33","Aracaju","SE",0.663353086942786,0,15992.677840485,6.13617251968996,6.13617251968996,18.5983008099002,9.94974355582104,0.947996930104327,8.35644837807077,0.0950168180982753,0.0151137603501427,0.0190924982994055,0.791888331186306,5.17923607417532,0.0425249488444603,0,0,5.01951198865609,6.3881681959078,3.7,0.531431054461182,0.700568455659707,563.563378422963,0.0114069045251995,5.56979863277986,0.307068366164542,0.057093248902053,3829.69897054535,6.0714713069184,5.78564709111992,85,36.26,69,7.05523786996792,58,54,45.56,41.16,7.11876740538736,7.15685529081622,3,3461,216,4.934323567,2.662583592,2902.416252,0.67799,49.8056835,5.199087097,4.608328688,2.38251725271114,0.044506784822074,10.0134735458429,0,85.9349326322708,4.82595511167242,6.57246138678935,0.00238251725271114,0.0200460072297075,0.0150345054222806,6.33262554689475,5.54284704219616,0.77,-0.032366621,0.00057509,5.055754092,26.06920611,1.788872363,553541.8839,6.863384254,5.951214975
"34","Feira de Santana","BA",0.378887285993007,0,6417.88156037346,5.6448448588734,5.6448448588734,39.9376481216124,53.9731516063554,0.96569867678753,5.45994570144283,0.1063845782264,0.00696284002857964,0.00862902336980781,0.821836730252909,5.95227673832046,0.0188540511854148,1,6,6.51063967877121,5.94606868834397,3.6,0.534677723332077,0.752029539721709,547.655588235294,0.012296452328523,5.52137815219811,0.211081794195251,0.309677419354839,3711.98733758701,6.60134100452321,6.07332869789724,81,25.65,54,6.42742472058809,45.82,35.84,36.72,11.5,5.86292157337546,6.1545022223029,5,20480,91,5.856405203,1.214029005,1179.338875,0.74949,82.51790158,4.714894395,4.934805142,8.08678500986193,0.0616366238564502,0,0,104.635108481262,5.28562734853921,1.38067061143984,0.00877712031558185,0.01232741617357,0.0135108481262327,5.36551978214929,5.26715247857518,0.712,-0.009037484,0.001775148,4.709422037,23.87121439,0.944196429,472604.1213,5.073277397,4.662269972
"35","Cuiabá","MT",0.727001927785713,0,18844.9413403163,6.2686489755791,6.2686489755791,9.00870843684552,25.3747835399693,0.943516912611848,6.56898314295418,0.195900196611692,0.011082394926632,0.0170972145164056,0.520820696320253,3.3829790524377,0.0298936581233095,1,5,7.02592785445436,5.28538703395525,4.3,0.557396449704142,0.807551809003686,553.76895352962,0.00895080211209046,6.12808676645326,0.414201183431953,0.180366369187412,4807.11381795318,6.66010924248624,6.47097281767168,68,36.96,61.32,6.6635448405838,52.92,48,61,18.92,6.73757798380266,6.74558068963745,5,8574,1142,5.429987403,3.361573024,844.7017363,0.82512,19.40302816,5.847122852,5.461035751,12.5315037804537,0.046567329547769,11507.5264736768,0,148.767852142257,6.09880458680323,2.73032763931672,0.0039904788574629,0.0168720246429572,0.0183422010641277,6.05518224558794,6.0836628449384,0.785,-0.017847812,0.001610193,5.533357348,39.48571232,1.036210526,693478.2055,5.803235066,5.59975645
"36","Joinville","SC",0.262084737997731,0.0616005359561905,15514.9033004359,5.87886354907312,5.87886354907312,70.8661253904897,11.3156260932368,0.959576390053232,7.73923367451089,0.0898794082427194,0.00606171634581464,0.00914755200391878,0.672978039291889,5.92952228490367,0.0298944008232099,1,3,7.79628353734791,8.42259861756668,5.8,0.584625609215773,0.700253518570826,569.471470761961,0.0183841261684268,7.38563395501076,0.330970314576872,0.388975289441852,6390.61037081822,6.43518998938638,7.08800168213314,46.8,31.86,77.22,6.58088705032683,37.13,48.36,40.28,9.3,5.94971086878286,6.2823475255449,3,1092,31,5.225374574,3.8124384,1867.422061,0.53224,12.23731123,7.156291163,6.284558176,7.65076507650765,0.154121686564535,15689.9561228623,1,143.489348934893,7.82600342574968,12.9012901290129,0.0191269126912691,0.0138763876387639,0.0218271827182718,7.57021860373353,7.84520710385971,0.809,0.053457439,0.017926793,7.921052219,57.09965636,1.509933263,564273.6252,7.377149588,7.989853638
"37","Aparecida de Goiânia","GO",0.177572263908208,0,2526.28838037764,5.38872686014475,5.38872686014475,22.4124679734355,13.9321303950133,0.898193752271193,8.58486027885981,0.114798797862806,0.0113306936930867,0.00750297859831177,0.871559438387734,5.96483478025792,0.0268573343537389,1,0,5.78167048382961,7.62998515505061,4.7,0.416732128829537,0.629926771174987,522.59521023766,0.00359495049489999,4.43612084013824,0.128633150039277,0.137704918032787,4268.9845851272,5.00197441857514,4.4691783757778,59,41.6,80.51,7.05479049182511,34.77,34.32,36,25.56,5.91398143438388,6.51551343556236,3,7909,853,5.001870286,2.498361702,1575.715014,0.63689,31.56964263,5.687051422,5.022500551,0,0.0760195816017468,0,0,150.536097212294,5.52125709881496,1.28663330950679,0.0245889921372409,0.00986418870621873,0.0125804145818442,5.61361110189195,5.52996378682773,0.718,0.014556157,0.006719085,5.445529473,23.87793847,0.926512751,627006.0963,5.037635706,5.084871253
"38","Londrina","PR",0.588512181137677,0.507005090729436,15313.3747361716,6.24685630212811,6.24685630212811,21.5967778809431,17.6797090173313,0.975907820520367,6.42662691658614,0.0842502936233628,0.0193445353253963,0.0139563229163103,0.757542584689249,5.56364756175965,0.0540116214399139,1,5,7.73093299992851,7.20339028207579,5.3,0.499614494988435,0.678653097445409,567.228186480186,0.0105775023450724,6.2334093941867,0.410370084811103,0.110959836623553,5082.51886820297,6.22896406687332,6.27628322054694,45.36,41.25,53.3,6.26803646949317,30.53,50.4,40.29,8.99,5.86733714347827,6.07203647671799,6,2500,325,5.513404938,4.024804173,1642.710096,0.55881,19.97004493,6.870579916,6.286287238,16.0849386483565,0.0661934249185386,230.104077182275,1,124.419861402505,6.53749300476544,7.69279674486617,0.0134782885116663,0.0150677093267213,0.0170385911373895,6.5967659886056,6.61625616170433,0.778,-0.000550632,0.00642126,5.996161713,37.1852325,0.998944654,481440.0949,5.647590185,5.785070283
"39","Juiz de Fora","MG",0.404454938342498,0.0161965733346078,12676.3397491394,5.8662076504912,5.8662076504912,41.1450619226001,41.9186853718288,0.959742689582027,5.74664865120355,0.104240103539998,0.0110717946324751,0.0108928410024645,0.781673647691085,5.45986702200596,0.0268947382136838,0,34.0000000000003,4.73254351443823,4.5590835638219,4.2,0.502449888641425,0.611480072753647,591.839359504132,0.00473973892599704,5.49792843021447,0.377728285077951,0.492183960126869,4334.68936820863,7.95868493329125,6.87037398348611,32.24,30.82,48.06,5.72296685832987,27,49.7,24,9.52,5.54160546008096,5.6086562373589,3,42453,131,5.94889718,3.950650354,1240.731597,0.61805,12.81314282,6.838904069,6.58736026,13.18391562294,0.0679096697134412,0,1,93.358602504944,6.21873577507322,3.955174686882,0.00502636783124588,0.0149143045484509,0.0148319050758075,5.7818640342715,6.00032588342406,0.778,0.032108561,0.002801582,6.254785217,32.37130583,1.34214876,495704.7349,6.17636942,6.260121931
"40","Porto Velho","RO",0.386478185717926,0,8271.19912852126,5.70869263096126,5.70869263096126,10.8653420810754,30.1510028073458,0.942415276856978,6.39979797996937,0.139378819423097,0.00207944365196854,0.00891147559043303,0.537759327170871,5.64465026210313,0.00941697896973771,1,21,5.54698135998076,5.71434608980093,4.4,0.486852281515855,0.622368760333822,516.783202579258,0.00709541783282597,4.68556531987885,0.261794276875483,0.125189845953569,4343.2822394082,5.73229090098191,5.05461749974411,82,72.09,44.85,7.33572884566317,58.08,55.3,47.52,26.4,6.88336544897924,7.18084854930154,3,2385,54,5.083513207,2.617598624,1510.454208,0.54603,31.1502645,6.340654835,5.570677491,5.00202784912802,0.271377794265833,0,0,77.8694065161552,6.7954702021881,10.004055698256,0.00310936866297147,0.0120319048262809,0.00986886575638772,5.687574810975,6.26244399866524,0.736,0.014172877,0.006083547,5.638201997,32.62957417,1.547876283,709606.2001,6.602723878,6.145354122
"41","Ananindeua","PA",0.260956945670425,0,2450.40998501138,5.44121755092714,5.44121755092714,37.4120513466239,28.9911626996481,0.970424714943867,5.85616501946252,0.0949895895488403,0.00272888726265778,0.00885494616524414,0.867804405774276,6.94782305124085,0.00934352230416891,0,0,4.04956787944631,5.19845826494043,4.3,0.52021375464684,0.700025024918363,522.107707979627,0.00643282775784888,5.08140448742944,0.177973977695167,0.03186022610483,4041.36266361556,5.01854539950574,4.86465809859711,75,66.99,74,7.74045450866508,72,37,36.8,32.3,6.74091171914902,7.32041153792984,2,11119,18,5.564321999,1.066862197,1784.451941,0.76597,43.85559113,4.421595498,4.498362342,7.50750750750751,0.0446746485085143,0,0,69.3693693693694,4.85213069328634,1.8018018018018,0.00930930930930931,0.00660660660660661,0.0132132132132132,4.98459118692672,4.82466572573804,0.718,0.012633893,0.008708709,5.540768797,15.1103662,0.840368609,757178.6094,4.557815896,4.852848192
"42","Serra","ES",0.120251517740311,0,4580.50296312166,5.41621633171999,5.41621633171999,7.51722299077304,19.2012245013343,0.965671140035772,6.4967606937653,0.112136258653015,0.00329904444854296,0.00902681723538294,0.917794775813165,6.51101212156943,0.0230316501294227,1,0,5.66983985254055,6.47375607521188,4.5,0.504493708807669,0.546287633705121,535.087725856698,0.0153679406055399,5.20013956816225,0.18573996405033,0.448818897637795,5430.6063986698,6.08237382249314,5.57127835435326,42.34,44.46,73.15,6.72552712258861,34.16,50.4,53.07,26.4,6.47978311642784,6.64138277072638,4,9029,18,5.927207937,2.367455032,1732.735725,0.61051,38.00545863,5.698144519,5.720674371,1.75202156334232,0.104345150050133,202.194851752022,0,157.008086253369,5.87510727297986,4.85175202156334,0.0110512129380054,0.00849056603773585,0.0128032345013477,5.43360929361722,5.62441763494194,0.739,0.075000193,0.01509434,7.138959614,48.18725886,1.075428617,610436.0507,6.185556683,6.799100154
"43","Caxias do Sul","RS",0.293160483831474,0,15548.6094008967,5.87833839730206,5.87833839730206,25.5270531183148,43.1684982508307,0.963039123446199,5.65763906685068,0.0985774299256746,0.00575268729732731,0.00834337193724712,0.865514469772309,6.36887948192039,0.0191228074289308,1,0,5.55557837114927,5.70782110131103,4.7,0.543494423791822,0.593271613837006,573.471431334623,0.0113098241429552,5.97809434968434,0.284386617100372,0.308922405960385,5677.83591839636,6.03331005823211,6.00681450561709,52,35.34,74,6.66805671510754,48,40.15,42.66,15.99,6.16076169645825,6.44103985184171,3,426,100,4.926423852,3.623179357,784.0684442,0.64309,20.81280694,6.764316047,5.769425228,4.24108963379822,0.183787378998553,2126.96412609086,0,135.225511785336,6.54538261839777,18.106190359677,0.0553788434874806,0.0123970312372563,0.0189217845200228,8.89307352302524,7.86815339026266,0.782,0.048098049,0.029606068,8.21106076,51.58057039,0.799718933,610449.9083,5.744277996,7.179684617
"44","Macapá","AP",0.411234492168769,0.00233625373017658,3747.04123425167,5.58216915434791,5.58216915434791,19.8884469981734,30.7271254524238,0.947918288351756,6.26259643823746,0.0731713985077105,0.00116644138440123,0.00615484736729371,0.393516111979026,8.38420450082867,0.00532632648223563,1,15.9999999999999,5.51338007274149,7.51030068713173,3.8,0.521683673469388,0.565689729071733,512.002636363636,0.00727000938224475,4.30376851025605,0.324744897959184,0.070241392956074,3343.83381669805,6.64949003071953,5.37453784497868,93,100,45.08,8.15336184455181,100,64,55,65,8.63330482865447,8.54713304012909,3,1724,87,4.977879511,1.911679177,1810.677409,0.53981,41.54247,5.962764672,5.210177049,7.28763379640173,0.0261627687736155,255.355727624687,0,40.7652015486222,4.47748682089003,5.92120245957641,0.00136643133682532,0.0138920519243908,0.0109314506946026,5.46390250282785,4.88153277053703,0.733,0.015712367,0.004327033,5.512143617,21.89063418,1.031084762,791406.2268,5.180640013,5.211337146
"45","Niterói","RJ",0.131064655486662,0,24609.2455061211,6.05932521020961,6.05932521020961,16.2587396081751,34.7362237089388,0.974714390738193,5.59441314349287,0.0680447322993826,0.0102137112202357,0.00780423270915186,0.939270134582893,7.45466571551027,0.028010273213825,1,4,7.25974885786761,7.61422772823133,3.8,0.561766623207301,0.938077898136651,586.142415565345,0.00995289764986341,6.74370444083255,0.447359843546284,0.346489283074649,5412.62106786787,7.29158792624538,7.2161535582984,32.4,38.64,66,6.29328850021327,23.4,65.57,33.04,26.68,6.24498017250389,6.28642937023771,5,42453,7,8.078999545,4.381449222,3777.303337,0.83802,15.66788721,5.48106459,7.163135596,27.5563846023402,0.0558641175052425,9.34704086823809,0,144.81939969476,6.12191349098744,6.44395455316262,0.0020349330167882,0.0156011531287095,0.01551636425301,6.02600914745894,6.08036809752526,0.837,0.20872437,0.003645922,9.702631591,90.04818939,0.900201632,930973.0466,7.286558745,9.010051877
"46","Florianópolis","SC",0.721654611354132,1.98551689438978,23997.9622921684,7.13965532094316,7.13965532094316,15.1289762346769,11.3156260932368,0.942018662804454,8.11012273052882,0.0898794082427194,0.018472938440067,0.0188757523971678,0.72607378408558,5.10960256432407,0.0505543925585917,1,6,7.43728939160124,7.8576642812506,4.5,0.532442748091603,0.81897569883439,593.739414634146,0.0432193896865339,8.17661496739568,0.502290076335878,0.720747810171264,5798.12129996304,9.03039424221182,9.11135779841218,60,34.22,82.17,6.93146292108121,47,52.26,34.2,15.5,6.21034828910151,6.60759297807927,7,8633,70,6.016754334,5.42114984,3512.080298,0.53224,13.55212923,7.493301658,7.125851071,43.5002529084471,0.0585095806437533,6123.27457005564,1,254.489124936773,8.5236205021003,10.9382903388973,0.00233940313606474,0.0182094081942337,0.0295270612038442,7.77313000403922,8.3344747453534,0.847,0.002163729,0.005943349,6.918460375,42.5225701,1.722377316,433724.7415,7.300954701,7.339005743
"47","Belford Roxo","RJ",0.0922953961016961,0,1703.0428053777,5.30643972032167,5.30643972032167,31.788361704766,34.7362237089388,0.986092461782278,5.36839755538351,0.0680447322993826,0.00308917747116979,0.00460987524023968,0.670009208799007,8.40149712418869,0.00653376757507271,0,22.9999999999997,4.21863028978228,5.99197717849844,3.8,0.477310924369748,0.456288971870268,491.09637254902,0.00341406520570427,3.29588799825434,0.0815126050420168,0,4078.01211120064,4.26589385497238,3.34801993118456,0,34.72,60,5.60854300806162,20.67,50.56,19.47,31.28,5.80524335795261,5.68805763642215,5,42453,30,6.690041792,1.302352889,624.9522018,0.8022,27.56002554,5.389591505,6.059372124,0,0.0254634537017407,0,0,84.8585690515807,4.58258374565713,1.10926234054354,0.00665557404326123,0.00998336106489185,0.00887409872434831,4.73027416213058,4.54004430965162,0.684,-0.046098339,0.004437049,3.956047147,15.6532056,0.787379973,1550614.322,4.469202885,3.843300791
"48","Campos dos Goytacazes","RJ",0.111218840733664,0,8734.88647858807,5.54218689902614,5.54218689902614,11.1653119651804,34.7362237089388,0.958902536564438,5.91717141373108,0.0680447322993826,0.0037335730368265,0.00358893060059843,0.254687499726834,7.82587041658966,0.010598898486629,0,12,4.56772318810714,6.21727282033434,3.6,0.532743362831858,0.646750824239806,556.055011235955,0.0179211072500386,5.54428366686931,0.264896755162242,0.233340168136149,3508.85705801861,6.79272500533972,6.20137367118065,0,0,0,3.50770773399758,0,0,0,0,3.63016511109672,3.41271210905655,9,261,150,6.125696773,1.873910653,2138.342785,0.83802,26.03746675,4.513828364,4.985671995,23.2817510107347,0.0381876964687128,0,0,78.9070124076398,5.33740378882892,6.27352572145546,0.00348529206747525,0.013941168269901,0.0107346995678238,5.55344274381235,5.39738396386517,0.716,0.159823119,0.000975882,7.213411735,56.53944773,0.975581729,762275.6764,6.273595717,6.897133457
"49","Vila Velha","ES",0.25640673881319,0,8396.72325643118,5.62704001447244,5.62704001447244,6.42965129641548,19.2012245013343,0.96630981337933,6.4840784993162,0.112136258653015,0.00797978330465179,0.0179892832834222,0.88899837844048,5.28892795226932,0.0311027596353907,1,0,5.90577079151314,5.77541560275799,4.6,0.545353490440196,0.605764396532045,563.834428571429,0.0114836988061193,5.85278064403828,0.301689639839929,0.590093085106383,3597.91562820008,8.40457406580581,7.34884304934527,58,47.88,75.05,7.07086010632703,35.84,62.64,66.12,31.2,7.03002121284915,7.11794377732996,6,9029,20,6.271979441,3.002172396,3051.242836,0.61051,28.50655159,5.78677452,6.043805137,4.47207678883072,0.0448225229386258,0,0,156.195462478185,5.42862464647548,4.47207678883072,0.00545375218150087,0.0116710296684119,0.0161431064572426,5.71487548788265,5.53465361722015,0.8,-0.000554199,0.006653578,6.301276867,25.28165063,1.157453896,400262.1015,5.554996257,5.913287463
"50","Mauá","SP",0.175379056144398,0,6655.44943276766,5.5183995949029,5.5183995949029,11.1313162748595,37.6790908189119,0.986877258643194,5.2846329766312,0.0802103444976061,0.00674450540142261,0.00742363958288075,0.651908673372029,6.41100470710239,0.0265386588538439,1,6,6.73527257484427,6.30127292854855,5.3,0.625328083989501,0.595767120282171,531.321615508885,0.00587678273297058,5.94761890941112,0.236220472440945,0.174603174603175,6869.05754901961,4.85096240519525,5.28211315834424,12.54,31.11,0,4.41758553680679,35.91,56.07,0,5.2,5.33153795980443,4.80223915671332,1,36387,36,5.637224592,2.227978619,2535.838362,0.59449,8.718667289,6.232024023,5.902515809,0,0.117571778321834,0,0,118.417672745954,5.63303699141543,4.10994091959928,0.0444387361931672,0.0100179809915232,0.00924736706909838,6.26565507286817,5.9449582150288,0.766,-0.011610785,0.023375289,6.72792866,33.80062276,0.788888889,846829.8365,5.103678147,5.898405911
"51","São João de Meriti","RJ",0.137559204902269,0,4160.72794448493,5.41428216946763,5.41428216946763,22.8485006472855,34.7362237089388,0.987423906596909,5.34254091000207,0.0680447322993826,0.00442529818415434,0.00485056694440522,0,6.20459986415782,0.0115634641153022,0,10,4.69221067088659,4.76903430415831,3.7,0.543744889615699,0.727552441329638,525.928338762215,0.008944692452966,5.11639246209511,0.146770237121832,0,3565.66261108566,5.0554210946991,4.90759898474454,0,33.6,68,5.75370193864671,22.62,47.4,27.73,32.66,5.94378071063254,5.83902118283139,4,42453,24,6.588110418,2.052716077,1468.566275,0.8022,26.8280575,4.879005919,5.602698413,0,0.0240868437222639,0,0,95.944609297725,4.65567207476702,2.9673590504451,0.0102209033959776,0.0105506099571381,0.00593471810089021,4.82712239958228,4.63237283149231,0.719,-0.038161282,0.001978239,4.383228798,20.69333207,0.954561043,939632.0866,4.983734559,4.411450284
"52","São José do Rio Preto","SP",0.543046380333309,0.0833243644582677,20884.0852095069,6.24211771319549,6.24211771319549,0,37.6790908189119,0.982730154615513,5.36467345025603,0.0802103444976061,0.01395002287819,0.0140829942162359,0.930151922886439,6.20951658126753,0.0443391377157089,1,28,6.49902992869054,6.05119207863539,5.3,0.6001100110011,0.7699896101743,584.839871630295,0.00963697938776863,7.21955083669574,0.400990099009901,0.171752798650514,4754.20440360183,6.56825183787263,7.0682703966179,0,0,0,3.50770773399758,0,0,0,0,3.63016511109672,3.41271210905655,5,2559,472,5.295116844,3.873539185,1843.83165,0.685554926,9.804485765,6.400313438,5.772922233,5.44812768569675,0.0764002800560112,143.567573664825,1,210.174953959484,6.96330738298123,3.37630448127686,0.0163443830570902,0.0242480049109883,0.0175721301411909,6.98717279664027,7.05971866742846,0.797,0.008819285,0.006292204,6.377985138,40.02067681,0.962666642,472043.8925,5.672646733,6.030546952
