,,Inputs,Inputs,Inputs,Inputs,Inputs,Inputs,Output,Output,Output,Output,Output,Índice de Inovação
,,Proporção de Mestres e Doutores em C&T,Proporção de Funcionários em C&T,Média de Investimentos do BNDES e FINEP,Infraestrutura Tecnológica,Contratos de Concessão,Índice de Inputs,Patentes,Tamanho da Indústria Inovadora,Tamanho da Indústria Criativa,Tamanho das Empresas TIC,Índice de Output,
Petrolina,PE,7.741027445460943,0.030717949190154786,32.53747361013371,0,62.983814215341305,4.691262282291074,3.8705137227304713,0.0026389866291344124,0.01020408163265306,0.010380014074595356,4.999251265870952,4.745229030904191
Ponta Grossa,PR,17.580964970257764,0.09236593523725511,0.0,0,86.97951090548578,5.696727964254298,4.626569729015201,0.009517514871116985,0.012822207534699273,0.011764705882352941,5.593231412187884,5.614226634406107
Franca,SP,1.703771013175829,0.04906510546816123,0.0,0,239.32303498409814,6.019972632144099,4.316219900045434,0.012721490231712857,0.016015447523852793,0.010449795547478418,5.792989422970077,5.898380099534553
Canoas,RS,5.922165820642978,0.0964174225850246,0.0,1,111.67512690355329,6.38913975517675,6.598984771573604,0.022504230118443318,0.01116751269035533,0.015736040609137057,6.397365741798215,6.427317624597043
Pelotas,RS,20.784128483703356,0.053782847242275486,53.50149582742875,1,72.114627617698,6.162002932137556,12.438985986458825,0.0067705873090851834,0.013541174618170367,0.01606046291922532,6.6417715902145655,6.436700087824135
Vitória da Conquista,BA,9.364144389065096,0.03485743996774228,0.0,0,69.47590998338619,4.8234845085271685,1.3593112822836428,0.005135175955293762,0.011629663192871167,0.010723455671348739,4.972281622821738,4.802413988928143
Ribeirão das Neves,MG,0.0,0.038774959525094445,0.0,0,76.2448132780083,4.631231984973675,1.5560165975103735,0.01037344398340249,0.005705394190871369,0.006742738589211619,4.412094847978739,4.393604927985891
Uberaba,MG,6.641604010025063,0.05362075543685616,3485.4632343358394,1,119.79949874686716,6.247379669344883,6.641604010025063,0.011027568922305764,0.012656641604010026,0.008270676691729323,5.5412088605388545,5.885137678541202
Paulista,PE,0.0,0.03892071631745523,0.0,0,97.75784753363229,4.797327186613577,3.1390134529147984,0.01031390134529148,0.005829596412556054,0.011210762331838564,4.927176512374095,4.76369627692647
Praia Grande,SP,0.0,0.03733074313549248,0.0,0,62.29880704412044,4.511934398231268,0.3787161522438932,0.0017042226850975193,0.004165877674682825,0.006248816512024238,3.8698555362442657,4.03418420285721
Cascavel,PR,6.771770183049412,0.06752417398022623,0.0,1,144.1117342080203,6.414037150438999,8.464712728811765,0.015871336366522062,0.016506189821182942,0.01343773145698868,6.562887181411016,6.530774402089767
São José dos Pinhais,PR,0.0,0.14562252529696437,25380.710659898476,0,193.06260575296108,7.489648129483593,6.768189509306261,0.030795262267343484,0.008967851099830795,0.010490693739424704,6.101387802579857,6.864428408641545
Guarujá,SP,0.0,0.03953441020768291,74019.20924495925,0,60.91806091806092,7.5622738766536655,0.429000429000429,0.001716001716001716,0.006649506649506649,0.006006006006006006,4.035375176023406,5.781398029987479
Taubaté,SP,4.804138950480414,0.13000810134040358,0.0,0,148.3739837398374,6.112235276610338,4.065040650406504,0.013673318551367332,0.013303769401330377,0.009977827050997782,5.565726991545974,5.825033138189949
