,,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Qualificada,Acesso e Qualidade da Mão de Obra Qualificada,Acesso e Qualidade da Mão de Obra Qualificada,Acesso e Qualidade da Mão de Obra Qualificada,Índice de Capital Humano
,,Nota do IDEB,Proporção de Adultos com pelo menos o Ensino Médio Completo,Taxa Líquida de Matrícula no Ensino Médio,Nota Média no ENEM,Proporção de Matriculados no Ensino Técnico e Profissionalizante,Índice de Acesso e Qualidade da Mão de Obra Básica,Proporção de Adultos com pelo menos os Ensino Superior Completo,Proporção de Alunos Concluintes em Cursos de Alta Qualidade,Custo Médio de Salários de Dirigentes,Índice de Acesso e Qualidade da Mão de Obra Qualificada,
Município,UF,,,,,,,,,,,
Carapicuíba,SP,5.0,0.5644067796610169,0.7330858859810211,520.4415499254844,0.005340319806268042,5.72679839500019,0.18531073446327684,0.0,4060.65385595921,4.9207071513270275,5.19184046035877
Diadema,SP,5.4,0.5800561797752809,0.733251945727677,534.0951456310679,0.00884316188194814,6.361011115514454,0.20037453183520598,0.28898426323319,7369.821933317342,4.989071637489062,5.611653251729601
Franca,SP,5.6,0.5851272015655578,0.6373078070464315,566.7322102747909,0.01157747174724896,6.748240767623896,0.3610567514677103,0.162880699983173,3757.7942454774447,6.893897003540163,6.981230866838363
Guarujá,SP,5.2,0.5601694915254237,0.6795814626959348,540.9826457399104,0.009188886336503948,6.088193973163483,0.24152542372881355,0.046140195208518,4743.579393203884,5.070632493126239,5.4973713837305285
Guarulhos,SP,5.0,0.5958474797597284,0.7801450213016966,541.7108734052993,0.004341557944699386,6.267036518237377,0.2753982763123531,0.079967023907667,7253.662582218414,4.621908478112697,5.336108404860751
Itaquaquecetuba,SP,4.8,0.5346907993966817,0.7038825406107649,519.2082208588956,0.0065407263488727685,5.410539290496075,0.17194570135746606,0.057971014492754,4732.336599690881,4.693285611469488,4.866973546438349
Jundiaí,SP,5.6,0.5988152934841142,0.9353684225734908,578.2981295925184,0.0188748282886603,8.209726992669482,0.4340333871836295,0.146586775090948,8823.54727425123,5.609916850283993,7.087296533038547
Limeira,SP,5.4,0.6018604651162791,0.7072846574934221,583.3455211912944,0.017711289710190974,7.426521635025199,0.33999999999999997,0.43298969072165,6151.776620981808,6.737783255694035,7.293242748151107
Mauá,SP,5.3,0.6253280839895012,0.5957671202821709,531.3216155088853,0.00587678273297058,5.9476189094111165,0.23622047244094488,0.174603174603175,6869.057549019608,4.85096240519525,5.282113158344236
Mogi das Cruzes,SP,5.0,0.6121550205519671,0.7150302930644273,566.8470689655172,0.011606944681079007,6.79820976713328,0.3913681738109219,0.183882270497547,5147.136526091586,6.382809191908122,6.705697339944421
Osasco,SP,4.8,0.6145339652448657,0.9032808768053675,552.5758055290754,0.008913590364910856,6.975382771786948,0.3497235387045814,0.170707070707071,8294.511262304573,5.265115382626021,6.14370548968031
Piracicaba,SP,5.5,0.5976775956284153,0.8257178476171658,580.943954248366,0.013297897843333299,7.599610680979643,0.36099726775956287,0.162285313704872,6769.913984647593,5.597206873855334,6.7151375161084275
Praia Grande,SP,5.4,0.5641658440276407,0.8061662431939385,534.431274238227,0.009599535545649438,6.541879938734242,0.22309970384995065,0.282306163021869,3258.3354788610864,6.9736282582539895,6.905565566997022
Ribeirão Preto,SP,4.8,0.6002658564375237,0.6875539556207041,584.620825285338,0.008520621892657877,6.638200023060323,0.42992783896695785,0.127820152549177,5372.358494574355,6.303230076077905,6.562535183384951
Santo André,SP,5.2,0.6438037249283668,0.8363149724512903,565.4959670781893,0.01330808680062818,7.502285738195042,0.4195916905444126,0.233013698630137,6154.5691355876925,6.411405209532574,7.143492744928706
